Inj
tid
6000
4967
5214
6000
6000
4932
6000
4867
4526
4597
4592
4536
4365
4289
4421
4446
4384
4306
4460
4528
4500
4500
4500
4500
4500

Ign
tid
20
20
20
20
20
20
20
25
25
25
30
30
30
30
35
35
35
35
35
40
40
40
40
40
45
